location,Population
Albania,2854191
Algeria,43053054
Andorra,77142
Anguilla,15096
Argentina,44938712
Australia,25364307
Austria,8877067
Azerbaijan,10023318
Bahrain,1641172
Bangladesh,163046161
Barbados,287025
Belarus,9466856
Belgium,11484055
Belize,390353
Bermuda,63918
Bolivia,11513100
Brazil,211049527
Bulgaria,6975761
Cambodia,16486542
Canada,37589262
Cayman Islands,64948
Chile,18952038
China,1397715000
Colombia,50339443
Costa Rica,5047561
Croatia,4067500
Cyprus,1198575
Czechia,10669709
Denmark,5818553
Dominican Republic,10738958
Ecuador,17373662
Egypt,100388073
El Salvador,6453553
England,67886011
Estonia,1326590
Faeroe Islands,52337
Falkland Islands,3548
Finland,5520314
France,67059887
Germany,83132799
Gibraltar,33701
Greece,10716322
Greenland,56225
Guatemala,16604026
Guernsey,63155
Guyana,782766
Honduras,9746117
Hong Kong,7507400
Hungary,9769949
Iceland,361313
India,1366417754
Indonesia,270625568
Iran,82913906
Ireland,4941444
Isle of Man,84584
Israel,9053300
Italy,60297396
Japan,126264931
Jersey,107800
Jordan,10101694
Kazakhstan,18513930
Kuwait,4207083
Latvia,1912789
Lebanon,6855713
Liechtenstein,38019
Lithuania,2786844
Luxembourg,619896
Macao,640445
Malaysia,31949777
Maldives,530953
Malta,502653
Mauritius,1265711
Mexico,127575529
Monaco,38964
Mongolia,3225167
Montenegro,622137
Montserrat,4992
Morocco,36471769
Myanmar,54045420
Nepal,28608710
Netherlands,17332850
New Zealand,4917000
Northern Cyprus,326000
Northern Ireland,1893700
Norway,5347896
Oman,4974986
Pakistan,216565318
Panama,4246439
Paraguay,7044636
Peru,32510453
Philippines,108116615
Poland,37970874
Portugal,10269417
Qatar,2832067
Romania,19356544
Russia,144373535
Rwanda,12626950
Saint Helena,6089
San Marino,33860
Saudi Arabia,34268528
Scotland,5463300
Senegal,16743927
Serbia,6944975
Seychelles,97625
Singapore,5703569
Slovakia,5454073
Slovenia,2087946
South Africa,58558270
South Korea,51269185
Spain,47076781
Sri Lanka,21803000
Sweden,10285453
Switzerland,8574832
Thailand,69625582
Trinidad and Tobago,1394973
Turkey,83429615
Turks and Caicos Islands,38191
Ukraine,44385155
United Arab Emirates,9770529
United Kingdom,66834405
United States,328239523
Uruguay,3461734
Venezuela,28515829
Wales,3153000
World,7673533974
Zimbabwe,14645468

